"","Treatment","RR","seRR"
"1","Abatacept 10 mg/kg",1.04545454545455,1.47186289333307
"2","Adalimumab + Azathioprine / 6-mercaptopurine 40 mg + 25-50 mg / 30 mg",0.370719649197633,1.34593693497708
"3","Adalimumab 40 mg",0.582559448739138,0.426460178881316
"4","Adalimumab 40 mg (once per 2 weeks)",0.623991427610419,0.527549951234294
"5","Apilimod 100 mg",0.876876876876877,0.647877880000124
"6","Apilimod 50 mg",1.11111111111111,0.628140613851694
"7","Etrolizumab 105 mg",1,0.651039485970947
"8","Placebo",1,0
"9","Risankizumab 180 mg",0.513966480446927,0.836555679644444
"10","Risankizumab 360 mg",1.02793296089385,0.730177196630182
"11","Tofacitinib 10 mg",2.9016393442623,1.2291613067864
"12","Tofacitinib 5 mg",4.91666666666667,1.1735548392486
"13","Upadacitinib 15 mg",1.62721893491124,0.682301751995106
"14","Upadacitinib 30 mg",1.63690476190476,0.682275940940704
"15","Vedolizumab 108 mg",0.487272727272728,0.617710216483019
"16","Vedolizumab 300 mg",0.563386757141957,0.504973115204706
"17","Vedolizumab 300 mg once per 2 months",0.775273389165221,0.569549860784194
