"","Treatment","RR","seRR"
"1","5-aminosalicylic acid 500 mg",1.66336633663366,1.32937545634594
"2","5-aminosalicylic acid 800 mg",1.58854166666667,1.40106345119277
"3","Adalimumab 40 mg",0.339933587225299,1.12102161278937
"4","Adalimumab 40 mg (once per 2 weeks)",0.767938376807165,1.05094511020245
"5","Azathioprine 1.7 mg/kg",2.6510019922803,1.33002665442412
"6","Azathioprine 2.5 mg/kg",1.93018236968104,1.14481465353872
"7","Budesonide 1 mg",0.56547619047619,1.47960563187072
"8","Budesonide 3 mg",0.984438602859801,1.61672023138243
"9","Budesonide 3-9 mg",1.00487171376281,1.72094456263228
"10","Budesonide 6 mg",1.21477824952659,0.971952759370915
"11","Budesonide 9 mg",0.379930645942474,1.92722230933296
"12","CDP571 10 mg/kg",3.67264573991031,1.92907116569415
"13","Certolizumab pegol 400 mg",0.942985513982493,1.22811697102181
"14","Infliximab + Azathioprine 5 mg/kg + 2-2.5 mg/kg",0.447382041787352,2.5464693253825
"15","Infliximab 10 mg/kg",1.56419670961284,1.20951070321521
"16","Infliximab 5 mg/kg",1.59408480543967,0.924101676314969
"17","Mesalamine 500 mg",0.70875,1.29602290388812
"18","Mesalamine 750 mg",1.7966903073286,1.40759585497441
"19","Mesalazine 500 mg",1.10714285714286,1.84219747945962
"20","Methotrexate 15 mg",2.7037037037037,2.01897051784463
"21","Natalizumab 300 mg",0.475409836065574,1.22604824962516
"22","Placebo",1,0
"23","Ustekinumab 6 mg/kg",0.410677591187078,1.64143652314731
"24","Usual care",0.454160557572009,1.74726042988503
"25","Vedolizumab 300 mg",0.596103896103896,1.27530867915562
"26","Vedolizumab 300 mg once per 2 months",0.794805194805195,1.26437116755796
