"","Treatment","RR","seRR"
"1","Abatacept 10 mg/kg",0.620117187500001,0.556159585237878
"2","Abatacept 3 mg/kg",0.732692307692309,0.525452512817598
"3","Abatacept 30 mg/kg",1.22115384615385,0.549309902393315
"4","Adalimumab 160 mg",1.74987838079706,0.366131594834196
"5","Adalimumab 80 mg",0.729246578553577,0.822656189531095
"6","Etrolizumab 105 mg",0.93986013986014,0.177679256462484
"7","Etrolizumab 210 mg",1.05931034482759,0.170632215709012
"8","Mongersen 160 mg",0.762362637362638,0.273409788143937
"9","Placebo",1,0
"10","Risankizumab 1200 mg",1.83100753769321,0.111554211916181
"11","Risankizumab 600 mg",1.96001669964353,0.1103216828022
"12","Tofacitinib 10 mg",1.17090909090909,0.214639271661973
"13","Tofacitinib 15 mg",1.00363636363636,0.429648874626387
"14","Tofacitinib 5 mg",1.05529411764706,0.22195247798889
"15","Upadacitinib 45 mg",2.8909619445881,0.225281142901803
"16","Ustekinumab 1 mg/kg",2.01456569753949,0.273730495362832
"17","Ustekinumab 130 mg",1.86437183053348,0.238640814559637
"18","Ustekinumab 3 mg/kg",2.08623008994208,0.270508077696739
"19","Ustekinumab 6 mg/kg",2.33409172041295,0.199190503429022
"20","Vedolizumab 300 mg",2.37194337194337,0.280046556027263
