"","Treatment","RR","seRR"
"1","Abatacept 10 mg/kg",1.27158077843008,0.205198909521596
"2","Etrolizumab 105 mg",1.3164931238051,0.191721025874322
"3","Placebo",1.48351090816844,0.178573062079917
"4","Risankizumab 180 mg",1.11830752024254,0.209800723091284
"5","Risankizumab 360 mg",1.19184162162425,0.209602553487002
"6","Tofacitinib 10 mg",1.38535379544752,0.249779328025892
"7","Tofacitinib 5 mg",1.38535379544752,0.249779328025892
"8","Upadacitinib 15 mg",1.11360321877335,0.19259139491495
"9","Upadacitinib 30 mg",0.92818090445099,0.198425144855136
"10","Ustekinumab (90 mg/12 wk)",1.18930041152263,0.194561122789444
"11","Ustekinumab 90 mg",1,0
"12","Vedolizumab 108 mg",1.06100917516442,0.20602392118482
