"","Treatment","RR","seRR"
"1","5-aminosalicylic acid 1000 mg",2.07105017061883,0.275421855353323
"2","5-aminosalicylic acid 1500 mg",1.64111431128581,0.29776220172463
"3","5-aminosalicylic acid 2000 mg",1.57304130735051,0.238500989479246
"4","5-aminosalicylic acid 500-1000 mg",1.4242179773575,0.198831217730787
"5","Adalimumab 40 mg",1.28844100956305,0.216890830247792
"6","Adalimumab 40 mg once per 2 weeks",1.21755390090188,0.228802308278768
"7","Azathioprine 2-2.5 mg/kg",1,0
"8","Budesonide 1 mg",1.77388858565799,0.240225528105121
"9","Budesonide 3 mg",1.70964778047523,0.229063448549878
"10","Budesonide 3-9 mg",1.1926806822358,0.493478734052839
"11","Budesonide 6 mg",1.44314362550527,0.190206495581088
"12","Budesonide 9 mg",1.54082767678468,0.250970793621134
"13","Certolizumab pegol 400 mg",1.64879336383708,0.216795773505728
"14","Filgotinib 100 mg",1.56288920652182,0.260155693211181
"15","Filgotinib 200 mg",1.56288920652182,0.263000151992894
"16","Infliximab + Azathioprine 5 mg/kg + 2-2.5 mg/kg",0.665280665280666,0.236507757207502
"17","Infliximab 10 mg/kg",1.2154379205983,0.23612922636675
"18","Infliximab 5 mg/kg",1.34069429779955,0.232808390776903
"19","Methotrexate 15 mg",0.994565858695702,0.332052023089382
"20","Placebo",1.73654356280203,0.16197129176339
"21","Step-up to azathioprine 2-2.5 mg/kg",1.3372327551432,0.190376966102124
"22","Upadacitinib 15 mg",1.24552090021663,0.272835819416221
"23","Upadacitinib 30 mg",1.02527635078808,0.293530665459663
"24","Ustekinumab 6 mg/kg",0.852336296802076,0.405823374035086
"25","Vedolizumab 108 mg",1.56207773756725,0.258638729942886
