"","Treatment","RR","seRR"
"1","5-aminosalicylic acid 1000 mg",1.54475943846259,0.278545411937436
"2","5-aminosalicylic acid 1500 mg",1.22407793781128,0.300653749155117
"3","5-aminosalicylic acid 2000 mg",1.1733034965035,0.242101363250413
"4","5-aminosalicylic acid 500-1000 mg",1.06229882509013,0.205107373979037
"5","Adalimumab 40 mg",0.96102520289505,0.22084379174137
"6","Adalimumab 40 mg once per 2 weeks",0.908151770989273,0.232552885122548
"7","Azathioprine 2-2.5 mg/kg",0.7458821907733,0.232808390776903
"8","Budesonide 1 mg",1.32311190445833,0.243800435722566
"9","Budesonide 3 mg",1.27519583195157,0.236151080282588
"10","Budesonide 3-9 mg",0.889599280159033,0.498609975782243
"11","Budesonide 6 mg",1.07641512899239,0.203148118249753
"12","Budesonide 9 mg",1.14927592316429,0.260915668824237
"13","Certolizumab pegol 400 mg",1.22980560635128,0.220750437179806
"14","Filgotinib 100 mg",1.16573122529644,0.263460305957689
"15","Filgotinib 200 mg",1.16573122529644,0.266269465116476
"16","Infliximab + Azathioprine 5 mg/kg + 2-2.5 mg/kg",0.496221000098661,0.331866940256865
"17","Infliximab 10 mg/kg",0.906573498964803,0.181003216842875
"18","Infliximab 5 mg/kg",1,0
"19","Methotrexate 15 mg",0.741828961552278,0.334647417654582
"20","Placebo",1.29525691699605,0.167227532005438
"21","Step-up to azathioprine 2-2.5 mg/kg",0.997418096980029,0.300737653176952
"22","Upadacitinib 15 mg",0.92901185770751,0.2759886455303
"23","Upadacitinib 30 mg",0.764735370673865,0.296463487921062
"24","Ustekinumab 6 mg/kg",0.635742464334334,0.407949701578945
"25","Vedolizumab 108 mg",1.16512596505486,0.261962479625609
